,year,navarea_i,navarea_ii,navarea_iii,navarea_iv,navarea_ix,navarea_v,navarea_vi,navarea_vii,navarea_viii,navarea_x,navarea_xi,navarea_xii,navarea_xiii,navarea_xiv,navarea_xv,navarea_xvi,poverty_percentage,attacks,math_benchmark_percent,reading_benchmark_percent,sea_law_adoption,R&D_proportion_of_GDP,full_time_researchers_per_million,high_risk
1542,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,70.0,0.11222,84.10554,1
1543,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,100.0,0.11222,84.10554,1
1544,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
1545,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
1546,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2,40,26.46852,35.23174,0.0,0.08282,10.0,1
1547,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2,40,26.46852,35.23174,0.0,0.08282,10.0,1
1548,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
1549,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
1550,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.7,19,0.0,0.0,57.0,0.33991,179.50769,1
1551,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.7,19,0.0,0.0,100.0,0.33991,179.50769,1
1553,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
1556,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
1557,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
1558,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5,19,0.0,0.0,57.0,0.33236,281.16658,1
1559,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5,19,0.0,0.0,100.0,0.33236,281.16658,1
1562,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.6,16,0.0,0.0,0.0,0.37307,36.07047,1
1563,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.74399,156.21967,1
1564,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,74,85.75126,90.58469,0.0,0.19044,114.40569,1
1569,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1570,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
1571,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,100.0,25.0,10.0,1
1572,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
1576,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,3,20.17682,0.0,0.0,0.81516,10.0,0
1577,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1578,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1579,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1580,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,40,26.18298,48.55411,50.0,0.27111,57.3604,1
1581,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,40,26.18298,48.55411,0.0,0.27111,57.3604,1
1582,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1586,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
1588,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
1589,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
1590,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,100.0,25.0,10.0,1
1591,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
1592,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,100.0,25.0,10.0,1
1593,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
1594,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,100.0,25.0,10.0,1
1595,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
1596,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,100.0,25.0,10.0,1
1597,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,92.47683,90.1335,0.0,1.92335,6603.11177,1
1598,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1600,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
1601,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.7,19,0.0,0.0,57.0,0.33991,179.50769,1
1602,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.7,19,0.0,0.0,100.0,0.33991,179.50769,1
1604,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
1605,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
1606,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1613,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,40,25.4186,40.12246,0.0,0.0553,10.0,1
1614,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,40,25.4186,40.12246,0.0,0.0553,10.0,1
1615,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,74,85.75126,90.58469,0.0,0.19044,114.40569,1
1617,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,14,0.0,0.0,0.0,25.0,10.0,0
1619,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1620,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69.7,11,0.0,0.0,0.0,0.38695,38.77089,0
1621,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.2,40,26.18298,48.55411,50.0,0.23378,10.0,1
1622,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.2,40,26.18298,48.55411,0.0,0.23378,10.0,1
1624,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1626,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.4,94,14.15759,0.0,70.0,0.11222,84.10554,1
1627,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.4,94,14.15759,0.0,100.0,0.11222,84.10554,1
1629,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,33,0.0,0.0,0.0,0.22324,35.78489,1
1631,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1632,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,17,0.0,0.0,0.0,25.0,69.13831,1
1633,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,25,21.10257,0.0,0.0,0.63895,539.02144,1
1635,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.6,16,0.0,0.0,0.0,0.51456,19.15202,1
1636,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1637,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1638,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1639,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1640,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1641,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
1642,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,100.0,25.0,10.0,1
1643,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1644,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1646,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
1647,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,100.0,25.0,10.0,1
1648,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
1649,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,100.0,25.0,10.0,1
1650,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,74,85.75126,90.58469,0.0,0.37359,679.46269,1
1651,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,74,85.75126,90.58469,0.0,0.37359,679.46269,1
1652,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1653,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,98,48.24566,47.27839,60.0,1.09269,1790.69463,1
1654,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,98,48.24566,47.27839,67.0,1.09269,1790.69463,1
