,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Education level,Nature,Reporting Type,Units
181549,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",8,Albania,2018,71.02757,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181550,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",8,Albania,2018,85.45455,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181551,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",8,Albania,2018,89.73978,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181552,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",8,Albania,2019,63.32876,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181553,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",8,Albania,2019,95.11426,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181554,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",8,Albania,2019,85.11066,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181555,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2000,99.42875,2000,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181556,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2000,99.32619,2000,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181557,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2000,95.13097,2000,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181558,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2001,95.12994,2001,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181559,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2001,99.32558,2001,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181560,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2001,99.42815,2001,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181561,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2002,95.1314,2002,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181562,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2002,99.42834,2002,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181563,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2002,99.32552,2002,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181564,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2003,95.1303,2003,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181565,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2003,99.32491,2003,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181566,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2003,99.42708,2003,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181567,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2004,99.42609,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181568,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2004,99.32491,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181569,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2004,95.13203,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181570,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2005,95.13376,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181571,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2005,99.3243,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181572,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2005,99.42511,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181573,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2006,99.42371,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181574,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2006,99.324,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181575,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2006,95.13224,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181576,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2007,99.42182,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181577,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2007,95.12668,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181578,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2007,99.32334,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181579,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2008,99.42028,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181580,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2008,99.32273,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181581,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2008,95.11296,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181582,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2009,95.10922,2009,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181583,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2009,99.32272,2009,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181584,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2009,99.42225,2009,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181585,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2010,99.43283,2010,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
