,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,Nature,Reporting Type,Units
18318,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),710,South Africa,2017,2.35462,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18319,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),724,Spain,2016,0.49478,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18320,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),724,Spain,2017,0.45241,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18321,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),792,Turkey,2013,0.07806,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18322,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),792,Turkey,2014,0.08081,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18323,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),792,Turkey,2015,0.05074,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18324,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),792,Turkey,2016,0.04463,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18325,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),792,Turkey,2017,0.03682,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18326,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),826,United Kingdom of Great Britain and Northern Ireland,2013,0.66732,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18327,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),826,United Kingdom of Great Britain and Northern Ireland,2014,0.55823,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18328,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),826,United Kingdom of Great Britain and Northern Ireland,2015,0.49393,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18329,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),826,United Kingdom of Great Britain and Northern Ireland,2016,0.5444,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18330,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),826,United Kingdom of Great Britain and Northern Ireland,2017,0.61253,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18331,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),840,United States of America,2013,2.74433,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18332,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),840,United States of America,2014,2.58866,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18333,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),840,United States of America,2015,2.4622,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18334,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),840,United States of America,2016,2.41503,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
